4,LHS 1140,b,0.1824,6.6500,1.4300,8.7500e-02,24.7371,8.7670e-02,5.5452e-01,2.3522e-03,3.2649e-19,0.3000,1.0000e+02,0.3700
16,GJ 96,b,0.5763,19.6600,4.7400,2.9100e-01,73.9400,1.2583e-01,1.8038e+00,3.7232e-02,1.5614e-10,1.5000,2.4280e+04,0.2329
17,CD-23 1056,b,0.6174,114.0000,13.0600,2.5000e-01,53.4350,2.2605e-01,2.7208e+00,2.7208e+00,3.2934e+04,1.5000,1.0000e+06,0.2540
18,LP 413-32 B,b,0.5035,4.0100,1.7000,1.6400e-01,31.3935,7.4067e-02,6.2595e-01,1.6489e-03,1.1007e-20,0.4008,1.8340e+02,0.3582
21,LPM 178,c,0.4054,6.8000,2.5200,1.2540e-01,25.6450,8.8324e-02,6.1350e-01,1.5151e-02,2.5902e-13,0.8143,1.2353e+03,0.3100
27,LP 834-042,b,0.4507,23.5400,5.1400,1.4339e-01,30.5987,1.3361e-01,1.0244e+00,3.6414e-01,1.2482e-02,1.5000,3.4766e+04,0.2343
29,LP 834-042,d,0.4507,7.6000,2.6300,1.9394e-01,48.1345,9.1660e-02,9.5050e-01,5.4667e-03,6.9218e-17,0.8697,1.5194e+03,0.3035
40,LP 776-27,c,0.4092,6.4000,2.4300,1.2900e-01,24.3290,8.6557e-02,6.1657e-01,1.4171e-02,1.6156e-13,0.7689,1.0357e+03,0.3153
43,Kapteyn's star,b,0.2787,4.8000,1.9800,1.6800e-01,48.6160,7.8642e-02,8.2919e-01,1.3785e-03,1.8968e-21,0.5420,3.8394e+02,0.3418
49,BD-06 1339,c,0.6348,53.0000,8.4200,4.5700e-01,125.9500,1.7512e-01,3.8174e+00,3.8227e-01,1.3902e-02,1.5000,3.0968e+05,0.2454
52,Luyten's star,b,0.2946,2.8900,1.4500,9.1101e-02,18.6498,6.6406e-02,3.7273e-01,1.9012e-03,5.5481e-20,0.3000,1.0000e+02,0.3700
72,Innes' star,b,0.3595,9.9000,3.1300,1.1900e-01,26.1610,1.0010e-01,6.8681e-01,3.9444e-02,3.8374e-10,1.1218,3.5315e+03,0.2741
76,PM J11293-0127,d,0.5506,11.1000,1.5100,2.0760e-01,44.5598,1.0400e-01,1.0799e+00,1.4996e-03,6.8924e-21,0.3050,1.0327e+02,0.3694
77,PM J11302+0735,b,0.4446,8.4300,2.3800,1.4290e-01,32.9396,9.4882e-02,7.2828e-01,9.5455e-03,7.1035e-15,0.7437,9.3645e+02,0.3182
81,Ross 1003,b,0.3456,96.7000,11.9400,1.6600e-01,41.3800,2.1399e-01,2.0751e+00,2.0751e+00,5.9028e+03,1.5000,1.0000e+06,0.2540
84,LP 613-39,b,0.3036,5.8300,2.2500,9.1000e-02,18.4498,8.3907e-02,4.6574e-01,1.7625e-02,1.0618e-12,0.6782,7.1331e+02,0.3259
