ID,Name,Alt. name,Karmn,RA_J2015.5,DE_J2015.5,d_pc,ed_pc,Ref_d,SpT,SpTnum,COMMENTS,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref19,u_mag,eu_mag,Ref20,BT_mag,eBT_mag,Ref21,B_mag,eB_mag,Ref22,g_mag,eg_mag,Ref23,BPmag,e_BPmag,Ref_24,VT_mag,eVT_mag,Ref25,V_mag,eV_mag,Ref26,Gmag,e_Gmag,Ref_27,r_mag,er_mag,Ref28,i_mag,ei_mag,Ref29,RPmag,e_RPmag,Ref_30,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qflag_2M,Ref31,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,Qflag_W,Ref32,K,M_Ben16,M_Del00,M_adopted,Source,M_mann,eM_mann,Model,Teff,logg,Meta.,Lbol,Lberr
11,GJ 96,G 173-53,,02:22:14.98,+47:52:48.8,11.936,0.009,GDR2,M0V,0.0,,,,,,,16.077,0.027,SDSS9,11.171,0.049,TYC2,10.864,0.040,UCAC4,9.854,0.001,SDSS9,9.6499,0.0019,GDR2,9.559,0.020,TYC2,9.345,0.03,UCAC4,8.6319,0.0006,GDR2,10.402,0.002,SDSS9,9.502,0.002,SDSS9,7.662,0.0018,GDR2,6.377,0.019,5.770,0.04,5.554,0.026,AAA,2MASS,5.464,0.153,5.29,0.062,5.377,0.015,5.25,0.039,BAAA,WISE,5.1698,0.6209,0.6215,0.6215,Del00,0.5763,0.0146,bt-settl-cifist,3900,4.5,0,0.06385681,9.422059E-04
12,CD-23 1056,LTT 1349,,02:46:43.22,-23:05:09.6,23.39,0.02,GDR2,M0V,0,,21.716,0.320,18.999,0.052,GALEX,,,,12.125,0.123,TYC2,11.617,0.030,UCAC4,11.0014,0.001,PS1,10.493,0.002,GDR2,10.456,0.039,TYC2,10.215,0.06,UCAC4,9.5989,5E-04,GDR2,9.644,0.014,CMC15,8.6214,0.0568,PS1,8.7005,0.0013,GDR2,7.558,0.021,6.927,0.031,6.736,0.018,AAA,2MASS,6.639,0.071,6.633,0.023,6.61,0.015,6.476,0.055,AAAA,WISE,4.8911,0.6404,0.6812,0.6812,Del00,0.6174,0.0155,bt-settl-cifist,4000,4.5,0,0.090805605,0.0012599442
13,LP 413-32 B,K2-288 B,,03:41:46.63, +18:16:06.6,65.72,0.87,GDR2,M3V,3,NEW 2019,,,,,,,,,,,,15.423,0.030,UCAC4,14.659,0.010,UCAC4,,,,,,,13.868,0.120,UCAC4,14.545,0.002,GDR2,13.263,0.090,UCAC4,12.390,0.2500,UCAC4,,,,10.545,0.020,9.946,0.023,9.724,0.018,AAA,2MASS,9.595,0.024,9.476,0.021,9.394,0.038,8.750,,AAAU,WISE,5.6355,0.5589,0.5235,0.5589,Ben16,0.5035,0.0130,bt-settl-cifist,3200,5,0,0.03640445,0.0017781089
14,BD-21 784,GJ 160.2,,04:06:34.90,-20:51:23.3,25.88,0.04,GDR2,K4V,-4,BEST PS1 \S9,,,18.473,0.063,GALEX,,,,11.302,0.064,TYC2,10.842,0.010,UCAC4,10.6928,0.1237,PS1,9.9161,0.0017,GDR2,9.838,0.029,TYC2,9.702,0.01,UCAC4,9.2015,3E-04,GDR2,9.521,0.01,UCAC4,9.312,0.0475,PS1,8.4173,0.0012,GDR2,7.439,0.021,6.854,0.051,6.702,0.017,AAA,2MASS,6.583,0.04,6.627,0.022,6.634,0.015,6.605,0.06,AAAA,WISE,4.6376,0.6419,0.7349,0.7349,Del00,0.6536,0.0164,bt-settl-cifist,4300,4.5,0,0.13715929,0.0021612043
15,LPM 178,GJ 163,,04:09:17.48,-53:22:16.2,15.135,0.007,GDR2,M3.5V,3.5,,,,21.902,0.320,GALEX,,,,13.047,0.241,TYC2,13.265,0.010,UCAC4,12.488,0.03,UCAC4,12.0974,0.0031,GDR2,11.944,0.144,TYC2,11.834,0.03,UCAC4,10.6771,8E-04,GDR2,11.236,0.02,UCAC4,9.921,0.03,UCAC4,9.5346,0.0014,GDR2,7.948,0.026,7.428,0.04,7.135,0.021,AAA,2MASS,6.978,0.057,6.828,0.022,6.763,0.015,6.572,0.048,AAAA,WISE,6.2351,0.4502,0.4074,0.4502,Ben16,0.4054,0.0098,bt-settl-cifist,3400,4.5,0,0.02169785,3.7366786E-04
16,Melotte 25 VA 50,K2-25,,04:13:05.74,+15:14:51.7,45.0,0.2,GDR2,M4.5V,4.5,,,,,,,19.743,0.033,SDSS9,,,,17.76,0.01,UCAC4,16.558,0.02,UCAC4,16.0749,0.0103,GDR2,,,,15.881,0.01,UCAC4,14.3817,0.001,GDR2,15.235,0.04,UCAC4,13.578,0.11,UCAC4,13.12,0.0022,GDR2,11.303,0.021,10.732,0.02,10.444,0.019,AAA,2MASS,10.275,0.024,10.086,0.02,9.936,0.057,8.301,,AAAU,WISE,7.1773,0.2787,0.2618,0.2787,Ben16,0.2652,0.0066,bt-settl-cifist,3200,4.5,0,0.007762589,1.3121034E-04
17,HG 8-15,K2-155,J04219+213,04:21:52.48,+21:21:12.9,73.0,0.3,GDR2,M0.0V,0.0,Schweitzer's REBEL,,,,,,16.253,0.007,SDSS9,,,,14.073,0.050,UCAC4,13.733,0.002,SDSS9,13.0534,0.0015,GDR2,,,,12.806,0.05,UCAC4,12.2528,0.0005,GDR2,12.860,0.040,UCAC4,11.877,0.001,UCAC4,11.291,0.0016,GDR2,9.763,0.028,9.135,0.03,8.899,0.019,AAA,2MASS,8.769,0.023,8.668,0.02,8.552,0.025,8.587,0.38,AAAC,WISE,4.5838,0.6399,0.7461,0.7461,Del00,0.6614,0.0167,bt-settl-cifist,3500,4.5,0,0.09984458,0.0015235227
18,LP 834-042,GJ 3293,,04:28:35.63,-25:10:16.8,20.20,0.02,GDR2,M2.5V,2.5,,,,21.593,0.253,GALEX,,,,,,,13.45,0.02,UCAC4,12.694,0.03,UCAC4,12.3085,0.0023,GDR2,,,,11.962,0.02,UCAC4,10.9788,9E-04,GDR2,11.358,0.02,UCAC4,10.226,0.06,UCAC4,9.8744,0.0012,GDR2,8.362,0.024,7.749,0.038,7.486,0.033,AAA,2MASS,7.207,0.035,7.21,0.02,7.131,0.016,6.932,0.091,AAAA,WISE,5.959,0.5025,0.4590,0.5025,Ben16,0.4507,0.0117,bt-settl-cifist,3500,4.5,0,0.027579645,3.9114122E-04
19,LEHPM 3808,TOI-270,,04:33:39.86,-51:57:26.6,22.49,0.01,GDR2,M3V,3.0,NEW 2019,,,,,,,,,,,,14.194,0.050,UCAC4,13.391,0.020,UCAC4,12.870,0.002,GDR2,,,,12.617,0.030,UCAC4,11.631,0.001,GDR2,12.011,0.02,UCAC4,10.910,0.05,UCAC4,10.543,0.002,GDR2,9.099,0.032,8.531,0.073,8.251,0.029,AAA,2MASS,8.130,0.022,7.983,0.019,7.887,0.016,7.691,0.089,AAAA,WISE,6.491,0.4011,0.3630,0.4011,Ben16,0.3643,0.0094,bt-settl-cifist,3500,5,0,0.016756214,2.8103188E-04
20,LP 358-499,K2-133,,04:40:35.85,+25:00:35.3,75.3,0.2,GDR2,M1V,1,,,,,,,17.283,0.01,SDSS9,,,,15.491,0.030,UCAC4,14.756,0.01,UCAC4,14.3108,0.0018,GDR2,,,,14.063,0.01,UCAC4,13.3245,3E-04,GDR2,13.432,0.01,UCAC4,12.672,0.01,UCAC4,12.3413,0.0018,GDR2,11.084,0.021,10.487,0.021,10.279,0.018,AAA,2MASS,10.173,0.022,10.072,0.021,9.991,0.071,8.586,,AAAU,WISE,5.8941,0.5144,0.4716,0.5144,Ben16,0.4613,0.0110,bt-settl-cifist,3800,4.5,0,0.035129562,4.2279597E-04
21,HD 285968,GJ 176,J04429+189,04:42:56.49,+18:57:12.1,9.473,0.006,GDR2,M2.0V,2,,21.282,0.406,19.022,0.090,GALEX,,,,11.818,0.121,TYC2,11.467,0.010,UCAC4,10.718,0.03,UCAC4,10.2328,0.0016,GDR2,10.195,0.049,TYC2,10.007,0.04,UCAC4,8.9996,5E-04,GDR2,9.522,0.18,UCAC4,8.314,0.02,UCAC4,7.9233,9E-04,GDR2,6.462,0.024,5.824,0.033,5.607,0.034,AAA,2MASS,5.486,0.177,5.27,0.065,5.341,0.014,5.227,0.034,BAAA,WISE,5.7246,0.5442,0.5053,0.5442,Ben16,0.4892,0.0126,bt-settl-cifist,3500,4.5,0,0.036480512,7.3034666E-04
22,Wolf 1539,GJ 179,J04520+064,04:52:05.89,+06:28:30.8,12.360,0.009,GDR2,M3.5V,3.5,,,,,,,,,,13.431,0.358,TYC2,13.552,0.060,UCAC4,12.697,0.04,UCAC4,12.2501,0.0015,GDR2,11.728,0.138,TYC2,11.963,0.04,UCAC4,10.7055,6E-04,GDR2,11.357,0.05,UCAC4,9.944,0.03,UCAC4,9.5232,0.0012,GDR2,7.814,0.024,7.209,0.046,6.942,0.018,AAA,2MASS,6.804,0.065,6.624,0.021,6.567,0.017,6.539,0.066,AAAA,WISE,6.4818,0.4028,0.3645,0.4028,Ben16,0.3658,0.0088,bt-settl-cifist,3300,4.5,0,0.015764328,3.0419373E-04
23,LP 776-27,GJ 180,J04538-177,04:53:50.42,-17:46:34.3,11.945,0.004,GDR2,M2.0V,2,,,,20.383,0.138,GALEX,,,,13.103,0.264,TYC2,12.436,0.040,UCAC4,11.639,0.04,UCAC4,11.1572,0.0012,GDR2,11.038,0.062,TYC2,10.914,0.03,UCAC4,9.9339,4E-04,GDR2,10.299,0.05,UCAC4,9.291,0.05,UCAC4,8.8679,0.0011,GDR2,7.413,0.02,6.86,0.038,6.598,0.021,AAA,2MASS,6.45,0.066,6.289,0.026,6.229,0.015,6.159,0.046,AAAA,WISE,6.2121,0.4547,0.4116,0.4547,Ben16,0.4092,0.0099,bt-settl-cifist,3500,4.5,0,0.024274724,3.6293414E-04
24,LP 656-38,GJ 3323,J05019-069,05:01:56.85,-06:56:54.6,5.376,0.002,GDR2,M4V,4,,,,,,,,,,,,,13.922,0.030,UCAC4,12.994,0.04,UCAC4,12.4393,0.0031,GDR2,,,,12.166,0.03,UCAC4,10.6467,6E-04,GDR2,11.526,0.02,UCAC4,9.843,0.04,UCAC4,9.3969,0.0013,GDR2,7.617,0.032,7.065,0.046,6.736,0.024,AAA,2MASS,6.548,0.084,6.281,0.026,6.218,0.015,6.091,0.06,AAAA,WISE,8.0838,0.1662,0.1679,0.1662,Ben16,0.1705,0.0044,bt-settl-cifist,3100,4.5,0,0.0036541708,5.2749412E-05
25,Kapteyn's star,GJ 191,,05:11:50.08,-45:02:34.9,3.934,0.000,GDR2,M0V,0,\S9\C15\PS1 \U4 gri B from exoplanet.nasa,,,,,,,,,10.792,0.046,TYC2,10.381,0.029,APASS9,9.664,0,APASS9,9.1107,0.0017,GDR2,9.033,0.018,TYC2,8.86,0,UCAC4,8.062,6E-04,GDR2,8.233,0,APASS9,7.425,0,APASS9,7.077,0.0018,GDR2,5.821,0.026,5.316,0.027,5.049,0.021,AAA,2MASS,4.921,0.204,4.295,0.108,4.733,0.016,4.6,0.027,BAAA,WISE,7.0751,0.2954,0.2751,0.2954,Ben16,0.2787,0.0069,bt-settl-cifist,3700,4.5,0,0.012805443,3.5394912E-04
26,LP 892-26,GJ 3341,,05:15:47.31,-31:17:41.4,23.64,0.03,GDR2,M2.5V,2.5,,,,21.009,0.321,GALEX,,,,,,,13.516,0.040,UCAC4,12.771,0.03,UCAC4,12.3472,0.0021,GDR2,,,,12.08,0.02,UCAC4,11.1029,0.0012,GDR2,11.497,0.03,UCAC4,10.441,0.12,UCAC4,10.0377,0.0013,GDR2,8.592,0.02,7.99,0.049,7.733,0.023,AAA,2MASS,7.644,0.024,7.537,0.02,7.425,0.018,7.354,0.103,AAAA,WISE,5.8652,0.5196,0.4773,0.5196,Ben16,0.4662,0.0114,bt-settl-cifist,3500,4.5,0,0.0321492,5.0834386E-04
